City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fort bragg,35.139,-79.006,20.46,91,100,1.54,US,1691059735
83,nova sintra,14.8667,-24.7167,22.51,79,99,2.84,CV,1691059737
84,santa fe de antioquia,6.5569,-75.8281,24.87,85,23,0.53,CO,1691059738
85,jamestown,42.097,-79.2353,19.77,96,20,2.06,US,1691059696
86,boca suno,-0.7167,-77.1333,19.62,90,30,0.67,EC,1691059740
87,muravlenko,63.7898,74.523,26.38,49,35,5.47,RU,1691059741
88,yellowknife,62.456,-114.3525,12.29,100,20,0.0,CA,1691059443
89,port mathurin,-19.6833,63.4167,23.04,79,91,5.1,MU,1691059743
90,nelson bay,-32.7167,152.15,15.61,84,1,3.58,AU,1691059744
91,holualoa,19.6228,-155.9522,23.91,89,100,2.57,US,1691059594
92,tepecoacuilco de trujano,18.3,-99.4833,19.77,96,99,1.47,MX,1691059747
93,ilha de mocambique,-15.0342,40.7358,24.93,68,8,9.44,MZ,1691059748
94,cabo san lucas,22.8909,-109.9124,29.73,69,77,0.89,MX,1691059749
95,utrik,11.2278,169.8474,28.58,79,43,7.44,MH,1691059750
96,arcelia,18.2833,-100.2667,21.42,98,100,0.37,MX,1691059751
97,whitehorse,60.7161,-135.0538,13.43,82,20,1.54,CA,1691059752
98,nchelenge,-9.3451,28.734,26.98,40,41,2.41,ZM,1691059753
99,san patricio,28.017,-97.5169,28.92,83,6,1.86,US,1691059755
100,avarua,-21.2078,-159.775,23.03,94,75,2.57,CK,1691059756
101,papatowai,-46.5619,169.4708,7.2,88,66,3.81,NZ,1691059757
102,taguatinga,-12.3857,-46.5711,24.0,49,33,2.49,BR,1691059758
103,san luis de la loma,17.2706,-100.8939,25.45,85,100,2.2,MX,1691059759
104,ribeira grande,38.5167,-28.7,24.32,73,20,5.14,PT,1691059760
105,inari,68.906,27.0288,20.11,86,98,3.09,FI,1691059761
106,yazd,31.8972,54.3675,40.06,10,0,3.09,IR,1691059762
107,pingzhuang,42.0372,119.2889,31.34,58,54,2.18,CN,1691059763
108,mukalla,14.5425,49.1242,35.92,46,13,12.06,YE,1691059764
109,westport,41.1415,-73.3579,18.37,79,0,0.0,US,1691059507
110,taltal,-25.4,-70.4833,13.9,86,19,0.75,CL,1691059698
111,cherepovets,59.1333,37.9,25.9,53,75,2.0,RU,1691059768
112,invercargill,-46.4,168.35,7.79,89,67,2.68,NZ,1691059769
113,udachny,66.4167,112.4,9.14,75,100,5.87,RU,1691059770
114,san antonio de pale,-1.4014,5.6325,22.11,76,46,1.81,GQ,1691059771
115,juegang,32.3174,121.1855,29.39,93,3,5.19,CN,1691059772
116,itamaraca,-7.7478,-34.8256,26.03,75,68,5.88,BR,1691059773
117,krasnokholm,51.5979,54.1567,31.55,25,40,5.2,RU,1691059774
118,fort st. john,56.2499,-120.8529,10.94,100,100,1.54,CA,1691059775
119,ulsteinvik,62.3432,5.8487,18.5,78,91,4.47,NO,1691059776
120,port douglas,-16.4833,145.4667,21.12,78,13,7.33,AU,1691059778
121,bayanhongor,46.7167,100.1167,19.11,51,87,0.63,MN,1691059779
122,kodiak,57.79,-152.4072,11.73,94,100,0.0,US,1691059780
123,puntarenas,9.9763,-84.8384,25.78,85,95,1.21,CR,1691059781
124,lebu,-37.6167,-73.65,6.16,71,74,8.92,CL,1691059779
125,inarajan village,13.2736,144.7484,28.08,94,100,1.35,GU,1691059784
126,colonia,50.9333,6.95,19.86,82,100,7.2,DE,1691059668
127,tarko-sale,64.9225,77.785,30.68,26,0,6.09,RU,1691059786
128,borogontsy,62.6683,131.1683,17.32,65,31,0.97,RU,1691059787
129,zaterechnyy,44.7931,45.2097,35.8,23,29,2.01,RU,1691059788
130,iwanai,42.9744,140.5089,24.0,95,83,2.41,JP,1691059790
131,wailua homesteads,22.0669,-159.378,26.44,83,20,7.2,US,1691059791
132,nueva gerona,21.8833,-82.8,28.37,78,63,3.8,CU,1691059792
133,vila franca do campo,37.7167,-25.4333,25.23,75,40,2.23,PT,1691059793
134,manakara,-22.1333,48.0167,20.8,74,94,6.29,MG,1691059795
135,hadibu,12.65,54.0333,29.76,56,37,13.07,YE,1691059798
136,syzran',53.1585,48.4681,26.58,47,100,1.79,RU,1691059679
137,carbondale,37.7273,-89.2168,22.25,98,75,2.06,US,1691059800
138,hasaki,35.7333,140.8333,29.61,88,45,6.31,JP,1691059801
139,stanley,54.868,-1.6985,17.5,77,75,4.12,GB,1691059709
140,hamilton,39.1834,-84.5333,21.6,90,100,2.06,US,1691059748
141,greymouth,-42.4667,171.2,4.09,76,0,1.89,NZ,1691059759
142,bikenibeu village,1.3673,173.1241,28.98,74,20,1.03,KI,1691059807
143,selfoss,63.9331,-20.9971,14.47,59,1,2.61,IS,1691059808
144,sept-iles,50.2001,-66.3821,12.0,95,75,2.06,CA,1691059799
145,georgetown,5.4112,100.3354,30.97,74,20,4.63,MY,1691059810
146,queenstown,-31.8976,26.8753,18.57,24,0,7.66,ZA,1691059811
147,whangarei,-35.7317,174.3239,5.74,91,3,1.38,NZ,1691059812
148,keflavik,64.0049,-22.5624,12.95,71,75,5.66,IS,1691059814
149,marion,39.7684,-86.1555,20.21,91,0,0.0,US,1691059789
150,cockburn town,21.4612,-71.1419,28.63,72,100,4.67,TC,1691059816
151,ihosy,-22.4,46.1167,18.88,62,59,7.7,MG,1691059818
152,salekhard,66.53,66.6019,27.0,43,0,6.39,RU,1691059819
153,port alfred,-33.5906,26.891,25.33,35,6,5.72,ZA,1691059820
154,pangody,65.85,74.4859,29.69,37,1,6.6,RU,1691059821
155,prado,-17.3411,-39.2208,21.68,77,4,1.07,BR,1691059822
156,ingeniero guillermo n. juarez,-23.9,-61.85,20.49,48,0,3.11,AR,1691059824
157,howard springs,-12.497,131.047,25.95,65,1,2.32,AU,1691059825
158,nova vicosa,-17.8919,-39.3719,21.34,78,2,1.86,BR,1691059826
159,alice springs,-23.7,133.8833,18.75,42,40,3.6,AU,1691059827
160,i-n-salah,27.1935,2.4607,43.97,7,0,4.09,DZ,1691059828
161,mnichovo hradiste,50.5272,14.9713,23.7,58,46,7.7,CZ,1691059829
162,yeniseysk,58.4497,92.1703,24.72,71,98,0.62,RU,1691059830
163,vilyuysk,63.7553,121.6247,21.29,57,48,3.39,RU,1691059831
164,atafu village,-8.5421,-172.5159,27.76,78,82,5.38,TK,1691059833
165,trashi yangtse,27.6116,91.498,21.23,96,100,1.03,BT,1691059834
166,bathurst,-33.4166,149.5806,9.35,89,3,0.42,AU,1691059835
167,olonkinbyen,70.9221,-8.7187,3.08,94,56,5.33,SJ,1691059836
